cemetery_id,place_id,cemetery_name,cemetery_address,status,cemetery_map_url
RU_BAB_CEM,RU_BABYE,Сільський цвинтар,,,
RU_GORBUN_CEM,RU_GORBOVO,Сільський цвинтар,,,
RU_KOZ_S_CEM,RU_KOZLOVO_S,Парафіяльний цвинтар,,,
RU_NAZ_CEM,RU_NAZAROVO,Сільський цвинтар,,,
RU_LEL_CEM,RU_LELECHI,Парафіяльний цвинтар,,,
RU_MAT_CEM,RU_MATVEEVO,Сільський цвинтар,,,
RU_OSE_CEM,RU_OSECHNO,Парафіяльний цвинтар,,,
UA_DRO_CEM_HOSP,UA_DROHOBYCH,Шпитальний цвинтар,,,
UA_HORD_CEM,UA_HORDYNIA,Сільський цвинтар,,,
UA_HOROD_CEM,UA_HORODYSHCHE,Сільський цвинтар,,,
UA_SAM_CEM_NEW,UA_SAMBIR,Новий міський цвинтар,вул. Перемишльська,,
UA_SAM_CEM_OLD,UA_SAMBIR,Старий міський цвинтар,вул. Перемишльська,,
UA_SIL_CEM,UA_SELETS,Сільський цвинтар,,,
UA_STU_CEM,UA_STUPNYTSIA,Сільський цвинтар,,,
UA_NAH_CEM,UA_NAHIRNE,Сільський цвинтар,,,
